Br *-Br
C *-C
C *-C=*
C *-C-*
C *-C(-*)=*
C *#C
C *-C#*
C *=C
C *-C(-*)(-*)-*
Cl *-Cl
F *-F
N *-N=*
N *-N-*
N *-N
N *-N(-*)-*
N *#N
O *=O
O *-O
O *-O-*
S *-S-*
S *-S(-*)=*
[nH] *:[nH]:*
c *=c(:*):*
c *-c(:*):*
c *:c:*
c *:c(:*):*
n *:n:*
n *-n(:*):*
n *:n(:*):*
o *:o:*
s *:s:*
cc *:c(:*):c(:*):*
cc *-c(:*):c(:*):*
cc *:c:c:*
cc *-c(:*):c(-*):*
cc *-c(:*):c:*
cccc *:c:c:c:c(:*):*
cccc *-c(:c:*):c:c:*
cccc *-c(:*):c(:*):c:c:*
cccc *-c(:*):c(-*):c(:*):c(:*):*
cccc *-c(:*):c:c:c:*
cccc *-c(:*):c:c:c(:*):*
cccc *-c(:*):c(-*):c(:*):c:*
cccc *-c(:*):c:c(-*):c:*
cccc *-c(:*):c(:*):c(:*):c:*
cccc *-c(:*):c(-*):c(-*):c:*
cccc *-c(:*):c:c(:*):c:*
cccc *:c:c:c:c:*
cccc *-c(:*):c(-*):c(:*):c(-*):*
cccc *-c(:*):c:c:c(-*):*
cccc *-c(:c:c:*):c(:*):*
cccc *:c:c:c(:*):c:*
cccc *-c(:*):c:c(-*):c(-*):*
cccc *-c(:*):c:c(:*):c(:*):*
cccc *-c(:c:*):c(:*):c:*
cccc *:c:c(:*):c(:*):c(:*):*
cccc *-c(:*):c(-*):c(-*):c(-*):*
cccc *:c:c:c(:*):c(:*):*
cccc *-c(:c:*):c(-*):c(:*):*
cccc *-c(:*):c(=*):c(:*):c:*
cccc *-c(:c:*):c(-*):c:*
CC *-C-C
CC *-C-C=*
CC *-C-C-*
CC *-C(-*)-C
CC *-C-C(-*)-*
CC *-C(-*)-C=*
CC *-C(-*)-C(-*)(-*)-*
CC *#C-C
CC *-C(=*)-C
CC *-C-C#*
CC *-C-C(-*)(-*)-*
CC *-C(-*)-C#*
CC *-C(-*)-C(-*)-*
CC *-C-C(-*)=*
CC *-C(=*)-C(-*)-*
CC *-C(=*)-C(-*)=*
CC *=C-C
CC *=C-C=*
cn *-c(:*):n:*
cn *:c:n:*
cn *-n(:*):c(:*):*
cn *-c(:*):n(-*):*
cn *:c:n(:*):*
cn *:n:c(:*):*
cn *-n(:*):c:*
c1ccccc1 *-c1:c:c:c(:*):c(:*):c:1
c1ccccc1 *-c1:c:c:c:c:c:1-*
c1ccccc1 *-c1:c:c:c:c:c:1
c1ccccc1 *-c1:c:c:c:c(-*):c:1-*
c1ccccc1 *-c1:c:c:c(-*):c:c:1
c1ccccc1 *:c1:c:c:c:c:c:1:*
c1ccccc1 *-c1:c:c:c:c(-*):c:1
c1ccccc1 *-c1:c:c:c(-*):c(-*):c:1
c1ccccc1 *-c1:c:c(:*):c(:*):c:c:1-*
CCN *-C(-*)-C-N(-*)-*
CCN *-N-C(=*)-C(-*)-*
CCN *-C-C(=*)-N(-*)-*
CCN *-C-C-N=*
CCN *-C-C(=*)-N-*
CCN *-C-C-N(-*)-*
CCN *-C(=*)-C(=*)-N=*
CCN *-N(-*)-C-C#*
CCN *-C-C-N-*
CCN *-C-C(-*)-N-*
CCN *-C-C(-*)-N(-*)-*
CCN *-N-C-C(-*)-*
CCN *-C(-C)-N(-*)-*
CCN *-N(-*)-C-C
CCN *-N(-*)-C-C=*
CCN *-N-C(-*)-C
CCN *-N-C(=*)-C(-*)=*
CCN *-N-C(-*)-C(-*)-*
CCN *-N-C(-*)(-*)-C(-*)(-*)-*
CCN *-N(-*)-C(-*)(-*)-C
CCN *-C(-*)-C(-*)-N(-*)-*
CCN *-N-C-C
CCN *-N-C(-*)(-*)-C
CCN *=N-C(=*)-C
CCN *-N-C(=*)-C
CCN *-N-C(=*)-C(-*)(-*)-*
CCN *-N(-*)-C(=*)-C(-*)(-*)-*
CCN *-C(-*)(-*)-C(-*)(-*)-N=*
CCN *-N-C(=*)-C=*
CCN *-C-C(-*)-N=*
CCN *-C(-N=*)-C(-*)(-*)-*
CCN *-C(-*)-C(-*)-N=*
CCN *-N-C-C=*
CCN *-N-C(-*)(-*)-C#*
Cc1ccccc1 *-C(=*)-c1:c:c(-*):c:c:c:1-*
Cc1ccccc1 *-C(=*)-c1:c:c:c:c:c:1
Cc1ccccc1 *-c1:c:c:c(-C=*):c(-*):c:1
Cc1ccccc1 *=C-c1:c:c:c:c:c:1
Cc1ccccc1 *-C-c1:c:c(-*):c:c(-*):c:1
Cc1ccccc1 *-c1:c:c(-C):c(-*):c(:*):c:1:*
Cc1ccccc1 *-C-c1:c:c:c:c:c:1
Cc1ccccc1 *-C(=*)-c1:c:c:c(-*):c:c:1-*
Cc1ccccc1 *-c1:c:c:c(-C):c:c:1
Cc1ccccc1 *-C-c1:c:c:c:c(-*):c:1
Cc1ccccc1 *-C(=*)-c1:c:c:c:c:c:1-*
Cc1ccccc1 *-c1:c:c(-*):c(-C):c:c:1-*
Cc1ccccc1 *-c1:c:c:c(-C(-*)-*):c:c:1
Cc1ccccc1 *-C(=*)-c1:c:c:c:c(-*):c:1
Cc1ccccc1 *-c1:c(-*):c(-*):c(-C):c(-*):c:1-*
Cc1ccccc1 *-C(-*)-c1:c:c:c:c:c:1
Cc1ccccc1 *-C-c1:c:c:c:c:c:1-*
Cc1ccccc1 *-C-c1:c:c:c(-*):c(-*):c:1-*
Cc1ccccc1 *-C-c1:c(-*):c:c(-*):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c(-*):c(-C):c:1
Cc1ccccc1 *-C-c1:c:c:c(-*):c:c:1
Cc1ccccc1 *-c1:c:c:c(-C=*):c:c:1-*
Cc1ccccc1 *-c1:c:c(-C=*):c:c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c:c(-C):c:1
Cc1ccccc1 *-c1:c:c:c:c:c:1-C
Cc1ccccc1 *-c1:c:c:c(-C):c(-*):c:1
Cc1ccccc1 *-c1:c:c:c:c(-C):c:1-*
Cc1ccccc1 *-c1:c:c:c:c:c:1-C(-*)-*
Cc1ccccc1 *-C-c1:c:c:c(:*):c(:*):c:1
Cc1ccccc1 *-C-c1:c:c:c(-*):c:c:1-*
Cc1ccccc1 *-c1:c:c(-*):c(-C(-*)-*):c:c:1-*
Cc1ccccc1 *-c1:c:c:c:c(-C=*):c:1
Cc1ccccc1 *:c1:c:c:c:c(-C):c:1:*
Cc1ccccc1 *-c1:c:c:c(-C):c:c:1-*
Cc1ccccc1 *-c1:c:c(:*):c(:*):c:c:1-C
Cc1ccccc1 *-c1:c:c:c(-C=*):c:c:1
Cc1ccccc1 *-c1:c:c:c(:*):c(:*):c:1-C
Cc1ccccc1 *-c1:c:c:c(-C(-*)-*):c(-*):c:1-*
Cc1ccccc1 *-c1:c:c:c:c:c:1-C#*
Cc1ccccc1 *#C-c1:c:c:c:c:c:1
Cc1ccccc1 *-c1:c(-C(-*)-*):c:c:c(:*):c:1:*
Cc1ccccc1 *-c1:c:c:c:c(-C=*):c:1-*
Cc1ccccc1 *-c1:c:c:c:c:c:1-C=*
Cc1ccccc1 *:c1:c:c:c(-C):c:c:1:*
Cc1ccccc1 *-c1:c:c:c(-C(-*)-*):c:c:1-*
Cc1ccccc1 *-c1:c:c(-*):c(-*):c(-C):c:1
Cc1ccccc1 *-c1:c:c:c:c(-C(-*)-*):c:1
Cc1ccccc1 *-c1:c:c:c:c:c:1-C(-*)(-*)-*
Cc1ccccc1 *-c1:c:c:c(-C):c(-*):c:1-*
Cc1ccccc1 *-C(=*)-c1:c:c:c(-*):c(-*):c:1
Cc1ccccc1 *-c1:c:c(-C):c:c(:*):c:1:*
Cc1ccccc1 *#C-c1:c:c:c(:*):c(:*):c:1
CO *-C-O
CO *-O-C
CO *-C-O-*
CO *-O-C(-*)-*
CO *-C(=*)-O
CO *-O-C(-*)=*
CO *-C(-*)-O
CO *-O-C=*
CCO *-C-C(-*)-O
CCO *-C-C(-*)-O-*
CCO *-C-C-O-*
CCO *-C-C(-*)(-*)-O
CCO *-C-C(-*)(-*)-O-*
CCO *-C(-*)-C-O
CCO *-C(=*)-C-O
CCO *-O-C-C
CCO *-C(-*)(-C)-O
CCO *-C(-C)-O
CCO *-C(-*)-C(-*)-O
CCO *-O-C-C(-*)=*
CCO *-C(-O)-C=*
CCO *-O-C(-*)-C(-*)=*
CCO *-O-C(-*)-C
CCO *-O-C-C(-*)-*
CCO *-O-C(-*)-C(-*)-*
CCO *-C-C-O
CCO *-O-C(-*)(-*)-C(-*)(-*)-*
CCO *-C-C(=*)-O
CCO *-C-C(=*)-O-*
CCO *-C(-*)-C(-*)(-*)-O
CCO *-O-C(-*)-C(-*)(-*)-*
